Tul Code,Ordenado,Delivered,Orders,ACV,AOV,Sku's,Freq
CL-012777,54870844.63,54870844.68,20,54870844.680000000000,2743542.234000000000,15,6.6666666666666667
CL-008545,54814338.01,52503787.62,21,52503787.620000000000,2500180.362857142857,76,7.0000000000000000
CL-039480,54702801.63,54702801.68,35,54702801.680000000000,1562937.190857142857,19,11.6666666666666667
CL-019568,54595212.45,54537733.04,21,54537733.040000000000,2597034.906666666667,17,7.0000000000000000
CL-014825,54429579.125,54405177.63,38,54405177.630000000000,1431715.200789473684,43,12.6666666666666667
CL-064457,54150557.94,73209379.54,3,73209379.540000000000,24403126.513333333333,3,1.00000000000000000000
CL-034980,54095107.66,54067724.78,22,54067724.780000000000,2457623.853636363636,28,7.3333333333333333
CL-040634,53908696.47,53568701.7816,16,53568701.781600000000,3348043.861350000000,10,5.3333333333333333
CL-026789,53329510.7375,53411008.9916636,27,53411008.991663600000,1978185.518209762963,185,9.0000000000000000
CL-037089,53322518.5,50672738.46,15,50672738.460000000000,3378182.564000000000,14,5.0000000000000000
CL-047251,52868153.4262,52637690.2487383,17,52637690.248738300000,3114008.518161076471,56,5.6666666666666667
CL-001372,52551545.21,52579209.21,27,52579209.210000000000,1947378.118888888889,14,9.0000000000000000
CL-039768,52508469.67,46800040.41,19,46800040.410000000000,2463160.021578947368,8,6.3333333333333333
CL-052261,52406399.3,48427812.56,15,48427812.560000000000,3228520.837333333333,6,5.0000000000000000
CL-002084,52401347.46,48918385.06,30,48918385.060000000000,1632582.468142530000,19,10.0000000000000000
CL-001919,52207418.49,52257720.38,20,52257720.380000000000,2612886.019000000000,8,6.6666666666666667
CL-004528,51734437.03,51154411.43,26,51154411.430000000000,1967477.362692307692,11,8.6666666666666667
CL-033538,51721052.16,51620697.25,30,51620697.250000000000,1720689.908333333333,61,10.0000000000000000
CL-059164,51396546.04,51283712.1998784,29,51283712.199878400000,1768421.357165227586,135,9.6666666666666667
CL-010663,51175124.4,51228185.15,46,51228185.150000000000,1113656.198913043478,21,15.3333333333333333
CL-038935,51168354.9,44404142.5501276,34,44404142.550127600000,1306004.192650811765,114,11.3333333333333333
CL-002826,51079584.98,66535248.7,21,66535248.700000000000,3168345.176190476190,20,7.0000000000000000
CL-043911,50637938.09,51795538.09,19,51795538.090000000000,2726080.952105263158,8,6.3333333333333333
CL-027539,50506705.49,50528255.9,25,50528255.900000000000,2021130.236000000000,17,8.3333333333333333
CL-002958,49863277.53,49788679.9176667,42,49788679.917666700000,1185444.759944445238,10,14.0000000000000000
CL-026469,49759601.33,48251209.68,27,48251209.680000000000,1787081.840000000000,39,9.0000000000000000
CL-004233,49626839.18,49325804.01,33,49325804.010000000000,1494721.333636363636,38,11.0000000000000000
CL-024088,49499664.53,45858722.33,17,45858722.330000000000,2697571.901764705882,12,5.6666666666666667
CL-001475,49355067.726,49338356.26,71,49338356.260000000000,694906.426197183099,62,23.6666666666666667
CL-019904,48791208.69,50865595.2,29,50865595.200000000000,1778472.144827586207,16,9.6666666666666667
CL-020866,48440036.74,47943264.38,21,47943264.380000000000,2283012.589523809524,12,7.0000000000000000
CL-018415,48280663.69,37246513.91,19,37246513.910000000000,1960342.837368421053,45,6.3333333333333333
CL-029100,47930340.94,47418228.1224627,26,47418228.122462700000,1823778.004710103846,61,8.6666666666666667
CL-047111,47903789.27,47670662.27,13,47670662.270000000000,3666974.020769230769,43,4.3333333333333333
CL-043904,47822126.21,43131757.3738897,8,43131757.373889700000,5391469.671736212500,7,2.6666666666666667
CL-061180,47153055.88,44627327.9635,43,44627327.963500000000,1046871.606360465116,37,14.3333333333333333
CL-031584,46924431.2,46924431.2,16,46924431.200000000000,2932776.950000000000,11,5.3333333333333333
CL-038856,46710099.09,34726873.89,14,34726873.890000000000,2480490.992142857143,10,4.6666666666666667
CL-033777,46586020.855,45198837.57,9,45198837.570000000000,5022093.063333333333,5,3.0000000000000000
CL-004982,46310572.83,46085797.63,30,46085797.630000000000,1536193.254333333333,38,10.0000000000000000
CL-008594,45509099.44,45519787.63,34,45519787.630000000000,1338817.283235294118,26,11.3333333333333333
CL-023918,45495777.73,44386275.01,12,44386275.010000000000,3720991.594166666667,18,4.0000000000000000
CL-035707,44965466.06,39787723.12,24,39787723.120000000000,1657821.796666666667,24,8.0000000000000000
CL-018426,44846548.27,44935106.48,27,44935106.480000000000,1664263.202962962963,15,9.0000000000000000
CL-004426,44773811.355,45132726.55,14,45132726.550000000000,3223766.182142857143,12,4.6666666666666667
CL-010628,44493482.17,47503002.97,21,47503002.970000000000,2262047.760476190476,8,7.0000000000000000
CL-032588,44091914.51,43971112.74,6,43971112.740000000000,7328518.790000000000,21,2.0000000000000000
CL-046671,44084799.182,41833186.382,20,41833186.382000000000,2091659.319100000000,10,6.6666666666666667
CL-017649,44041393.99,41449241.46,36,41449241.460000000000,1152123.926666666667,38,12.0000000000000000
CL-004606,43963308.11,43963308.11,15,43963308.110000000000,2968742.332152446667,20,5.0000000000000000
CL-043144,43785099.32,43732523.13,12,43732523.130000000000,3644376.927500000000,9,4.0000000000000000
CL-010204,43710342.8,43723245.2,6,43723245.200000000000,7287207.533333333333,7,2.0000000000000000
CL-056033,43514444.66,40811707.59819,26,40811707.598190000000,1583145.239930384615,39,8.6666666666666667
CL-039504,43365790.62,41951465.83,20,41951465.830000000000,2097573.291500000000,17,6.6666666666666667
CL-019661,43301436.22,39940484.68,28,39940484.680000000000,1426445.881428571429,10,9.3333333333333333
CL-006408,43268747.8,45430637.435,20,45430637.435000000000,2271531.871750000000,10,6.6666666666666667
CL-021965,43261499.15,60397787.15,46,60397787.150000000000,1312995.372826086957,11,15.3333333333333333
CL-050962,43142588.32,43171694.73,33,43171694.730000000000,1308233.173636363636,15,11.0000000000000000
CL-021389,42390535.2,42397498.56,19,42397498.560000000000,2231447.292631578947,29,6.3333333333333333
CL-019910,42304525.42,40207985.1,22,40207985.100000000000,1827635.686363636364,11,7.3333333333333333
CL-002424,42071007.6984403,42070125.7435157,19,42070125.743515700000,2214217.144395563158,27,6.3333333333333333
CL-040804,41885014.33,40855421.520207,25,40855421.520207000000,1636211.252808280000,109,8.3333333333333333
CL-000338,41698926.055,41692776.67,29,41692776.670000000000,1437681.954137931034,28,9.6666666666666667
CL-044429,41447305.81,43249233.84,32,43249233.840000000000,1351538.557500000000,26,10.6666666666666667
CL-043485,41441625.95,41441625.95,7,41441625.950000000000,5920232.278571428571,10,2.3333333333333333
CL-002824,41332542.2502,40321802.8555466,42,40321802.855546600000,960042.925132061905,179,14.0000000000000000
CL-032443,41326297.33,41530854.67,38,41530854.670000000000,1092917.228157894737,47,12.6666666666666667
CL-026715,41304581.44,40623851.4109375,8,40623851.410937500000,5077981.426367187500,13,2.6666666666666667
CL-000427,41090011.96,33967812.6,23,33967812.600000000000,1476861.417391304348,36,7.6666666666666667
CL-047719,41009505.87,42185955.89,50,42185955.890000000000,843772.916000000000,43,16.6666666666666667
CL-022475,40897101.585,40902294.12,35,40902294.120000000000,1196701.736857142857,23,11.6666666666666667
CL-004707,40834106.59,40838471.1601175,23,40838471.160117500000,1775585.702613804348,44,7.6666666666666667
CL-026072,40710112.59,36609218.0924863,17,36609218.092486300000,2153483.417205076471,8,5.6666666666666667
CL-022265,40615669.66,39359317.64,5,39359317.640000000000,7871863.528000000000,8,1.6666666666666667
CL-028323,40599430.01,41836963.01,32,41836963.010000000000,1307405.094062500000,11,10.6666666666666667
CL-043073,40444815.07,39817947.07,18,39817947.070000000000,2212108.170555555556,18,6.0000000000000000
CL-052278,40270728,40270728,3,40270728.000000000000,13423576.000000000000,5,1.00000000000000000000
CL-028096,39877998,32780065.12,5,32780065.120000000000,6556013.024000000000,10,1.6666666666666667
CL-015574,39755525.67,38873377.27,12,38873377.270000000000,3239448.105833333333,7,4.0000000000000000
CL-035787,39642242.27,60218973.91,32,60218973.910000000000,1881842.934687500000,20,10.6666666666666667
CL-049995,39309465.09,39309465.09,8,39309465.090000000000,4913683.136250000000,6,2.6666666666666667
CL-037285,39228928.67,39024854.16,53,39024854.160000000000,736318.003018867925,33,17.6666666666666667
CL-047536,38600772.9,50175565.78,8,50175565.780000000000,6271945.722500000000,13,2.6666666666666667
CL-024384,38292390.23,42155571.51,30,42155571.510000000000,1405185.717000000000,28,10.0000000000000000
CL-011697,38042256.16,38042256.16,7,38042256.160000000000,5434608.022857142857,7,2.3333333333333333
CL-032383,38012081.6,37898405.28,46,37898405.280000000000,823878.375652173913,105,15.3333333333333333
CL-009822,37878305.35,37883082.2206,35,37883082.220600000000,1082373.777731428571,29,11.6666666666666667
CL-039493,37874538.63,36561759.23,87,36561759.230000000000,420250.106091954023,29,29.0000000000000000
CL-030269,37814352.61,37794624.6249,15,37794624.624900000000,2519641.641660000000,7,5.0000000000000000
CL-005026,37796047.14,37796047.13,1,37796047.130000000000,37796047.130000000000,6,0.33333333333333333333
CL-022260,37739361.18,37309100.73,22,37309100.730000000000,1695868.215000000000,40,7.3333333333333333
CL-034489,37711380.7472,36517877.2,27,36517877.200000000000,1352513.970370370370,160,9.0000000000000000
CL-045808,37567287.23,37250440.1732148,15,37250440.173214800000,2483362.678214320000,16,5.0000000000000000
CL-039119,37425295.63,39445673.45,12,39445673.450000000000,3287139.454166666667,6,4.0000000000000000
CL-004380,37373914.29,37184220.34,36,37184220.340000000000,1032895.009444444444,47,12.0000000000000000
CL-027427,37338022.58,36776174.5693684,21,36776174.569368400000,1751246.408065161905,46,7.0000000000000000
CL-013301,36980903.4,36980903.4,5,36980903.400000000000,7396180.680000000000,8,1.6666666666666667
CL-004560,36874575.84,36786869.71,19,36786869.710000000000,1939951.037368421053,27,6.3333333333333333
CL-013425,36644452.64,36458081.9601763,50,36458081.960176300000,729161.639203526000,35,16.6666666666666667
CL-011551,36633890.11,37171395.62,6,37171395.620000000000,6195232.603333333333,8,2.0000000000000000
CL-032942,36416584.68,36416584.68,13,36416584.680000000000,2801275.744615384615,9,4.3333333333333333
CL-022112,36403262.83,36237626.035,20,36237626.035000000000,1811881.301750000000,40,6.6666666666666667
CL-027764,36303943.9,36303943.89,14,36303943.890000000000,2593138.849285714286,22,4.6666666666666667
CL-000807,36173246.585,36306544.35,7,36306544.350000000000,5186649.192857142857,4,2.3333333333333333
CL-034371,35934743.26,35929233.7255285,12,35929233.725528500000,2994102.810460708333,10,4.0000000000000000
CL-037407,35755420.665,35768687.33,17,35768687.330000000000,2104040.431176470588,11,5.6666666666666667
CL-055894,35627527.5,34145527.5,3,34145527.500000000000,11381842.500000000000,8,1.00000000000000000000
CL-046132,35401612.3948534,33601252.5191729,17,33601252.519172900000,1976544.265833700000,18,5.6666666666666667
CL-016569,35373911.73,35348264.37,20,35348264.370000000000,1767413.218500000000,5,6.6666666666666667
CL-004860,35256154.72,35256154.82,21,35256154.820000000000,1678864.515238095238,18,7.0000000000000000
CL-032750,35184421.66,35218814.81,23,35218814.810000000000,1531252.817826086957,13,7.6666666666666667
CL-040454,35040943.32,35040943.32,1,35040943.320000000000,35040943.320000000000,1,0.33333333333333333333
CL-030446,34946100.89,34826441.8,14,34826441.800000000000,2487602.985714285714,12,4.6666666666666667
CL-004892,34938209.418,34354671.352,45,34354671.352000000000,763437.141155555556,16,15.0000000000000000
CL-023476,34903316.89,34817224.20605,16,34817224.206050000000,2176076.512878125000,24,5.3333333333333333
CL-035809,34609799.66,34636940.04,11,34636940.040000000000,3148812.730909090909,44,3.6666666666666667
CL-016996,34582792.57,34582792.57,13,34582792.570000000000,2660214.813076923077,8,4.3333333333333333
CL-009908,34514446.77,34491922.31,27,34491922.310000000000,1296140.534074074074,40,9.0000000000000000
CL-007795,34490165.38,34490165.37,9,34490165.370000000000,3832240.596666666667,6,3.0000000000000000
CL-002928,34295337.2302,34308209.91,35,34308209.910000000000,982308.740285714286,38,11.6666666666666667
CL-062198,34225547.35,32003063.85,20,32003063.850000000000,1600153.192500000000,74,6.6666666666666667
CL-033456,34069373.66,34069373.66,3,34069373.660000000000,11369509.926666666667,7,1.00000000000000000000
CL-026511,33977625.865,33977625.94,8,33977625.940000000000,4247203.242500000000,11,2.6666666666666667
CL-006471,33873863.175,33355090.4044829,16,33355090.404482900000,2084693.150280181250,41,5.3333333333333333
CL-048726,33846725.76,29572970.5905725,15,29572970.590572500000,1971531.372704833333,21,5.0000000000000000
CL-000322,33761662.39,32514056.81,10,32514056.810000000000,3251405.681000000000,15,3.3333333333333333
CL-047434,33617907.36,33617907.36,3,33617907.360000000000,11205969.120000000000,5,1.00000000000000000000
CL-014189,33496201.87,32096247.9689297,24,32096247.968929700000,1337343.665372070833,16,8.0000000000000000
CL-003763,33492337.08,33492337.08,7,33492337.080000000000,4784619.582857142857,5,2.3333333333333333
CL-005959,33324338.29,33324335.79,5,33324335.790000000000,6664867.158000000000,12,1.6666666666666667
CL-047209,33093454.93,33054176.2667361,16,33054176.266736100000,2065886.016671006250,25,5.3333333333333333
CL-013427,33035318.34,32822506.24,11,32822506.240000000000,2983864.203636363636,8,3.6666666666666667
CL-028103,32919839.27,32937421.5,14,32937421.500000000000,2352672.964285714286,15,4.6666666666666667
CL-000451,32917603.71,32925997.51,33,32925997.510000000000,997757.500303030303,9,11.0000000000000000
CL-015547,32843471.1,32793954.53,38,32793954.530000000000,862998.803421052632,60,12.6666666666666667
CL-001307,32790000,32790000,2,32790000.000000000000,16395000.000000000000,2,0.66666666666666666667
CL-003762,32745618.37,28616418.37,10,28616418.370000000000,2861641.837000000000,13,3.3333333333333333
CL-003786,32683804.23,32668763.43,9,32668763.430000000000,3629862.603333333333,8,3.0000000000000000
CL-020504,32637911.72,32577684.42,31,32577684.420000000000,1050893.045806451613,48,10.3333333333333333
CL-000777,32534325.15,32546038.09,23,32546038.090000000000,1415045.134347826087,24,7.6666666666666667
CL-001632,32492376.56,32444074.2354744,17,32444074.235474400000,1908474.955027905882,19,5.6666666666666667
CL-018629,32457165.39,32269735.37,25,32269735.370000000000,1290789.414800000000,33,8.3333333333333333
CL-006143,32453095.76,32140564.43,30,32140564.430000000000,1071352.147666666667,32,10.0000000000000000
CL-005868,32389618.73,33562985.01,54,33562985.010000000000,621536.759444444444,62,18.0000000000000000
CL-018488,32355847.49,35705030.92,76,35705030.920000000000,469803.038421052632,37,25.3333333333333333
CL-036118,32166301.8843992,30814994.4100169,32,30814994.410016900000,962968.575313028125,75,10.6666666666666667
CL-039495,32130358.34,31724000.9,23,31724000.900000000000,1379304.386956521739,12,7.6666666666666667
CL-038469,32115277.47,26807921.37,7,26807921.370000000000,3829703.052857142857,2,2.3333333333333333
CL-057607,32102651.01,32102651.01,8,32102651.010000000000,4012831.376250000000,10,2.6666666666666667
CL-024600,31807888.85,31900534.13,11,31900534.130000000000,2900048.557272727273,7,3.6666666666666667
CL-034873,31746700.07,31555113.7710486,18,31555113.771048600000,1753061.876169366667,57,6.0000000000000000
CL-042549,31526265.45,28660590.45,7,28660590.450000000000,4094370.064285714286,9,2.3333333333333333
CL-020687,31473772.55,32231974.92,23,32231974.920000000000,1401390.213913043478,6,7.6666666666666667
CL-003126,31009645.74,31009645.74,19,31009645.740000000000,1632086.617894736842,19,6.3333333333333333
CL-032634,30927199.97,30951227.27,36,30951227.270000000000,859756.313055555556,45,12.0000000000000000
CL-025635,30898584.49,30898584.49,11,30898584.490000000000,2808962.226363636364,12,3.6666666666666667
CL-028058,30788051.24,30816551.24,13,30816551.240000000000,2372794.443960676923,41,4.3333333333333333
CL-000254,30754531.78,30744116.2065,61,30744116.206500000000,504300.544368852459,27,20.3333333333333333
CL-006380,30694211.402,30737092.312,26,30737092.312000000000,1182195.858153846154,22,8.6666666666666667
CL-052527,30692344.03,27539308.33,11,27539308.330000000000,2503573.484545454545,23,3.6666666666666667
CL-045840,30548260.75,30490068.5,29,30490068.500000000000,1051381.672413793103,27,9.6666666666666667
CL-020921,30543337.81,30543337.81,29,30543337.810000000000,1053218.545172413793,17,9.6666666666666667
CL-035821,30473418.27,29653859.98,18,29653859.980000000000,1647436.665555555556,15,6.0000000000000000
CL-007842,30458162.16,30458162.16,7,30458162.160000000000,4351166.022857142857,2,2.3333333333333333
CL-033283,30444509.86,30362486.7816512,11,30362486.781651200000,2760226.071059200000,19,3.6666666666666667
CL-017003,30443722.88,30443722.88,16,30443722.880000000000,1902732.680000000000,10,5.3333333333333333
CL-023926,30433866.68,30400551.68,5,30400551.680000000000,6080110.336000000000,8,1.6666666666666667
CL-005455,30433287.605,30433287.62,11,30433287.620000000000,2766662.510909090909,29,3.6666666666666667
CL-046116,30429343.46,30142958.57,22,30142958.570000000000,1370134.480454545455,22,7.3333333333333333
CL-037314,30408707.1148,28936055.4351971,23,28936055.435197100000,1258089.366747700000,61,7.6666666666666667
CL-052308,30349145.29,29792146.13,15,29792146.130000000000,1986143.075333333333,21,5.0000000000000000
CL-003382,30209324.08,30209324.08,12,30209324.080000000000,2517443.673333333333,15,4.0000000000000000
CL-030468,30112109.98,29053994.6977181,6,29053994.697718100000,4842332.449619683333,5,2.0000000000000000
CL-020768,30021064,29239612.45,9,29239612.450000000000,3248845.827777777778,7,3.0000000000000000
CL-012640,29775517.38,30218387.5,32,30218387.500000000000,944324.609375000000,45,10.6666666666666667
CL-014190,29770669.95,29770669.95,8,29770669.950000000000,3721333.743750000000,7,2.6666666666666667
CL-051405,29645558.99,27679058.61,12,27679058.610000000000,2306588.217500000000,26,4.0000000000000000
CL-053131,29567411.13,28866386.18,7,28866386.180000000000,4123769.454285714286,12,2.3333333333333333
CL-002262,29516487.6,29147150.17,27,29147150.170000000000,1079524.080370370370,17,9.0000000000000000
CL-038862,29306119.41,28736425.6264763,13,28736425.626476300000,2210494.278959715385,44,4.3333333333333333
CL-053930,29193489.45,29039564.16,25,29039564.160000000000,1161582.566400000000,13,8.3333333333333333
CL-011233,29141985.8831082,29050677.81,19,29050677.810000000000,1528983.042631578947,74,6.3333333333333333
CL-040730,29001084.13,29002840.4409971,20,29002840.440997100000,1450142.022049855000,41,6.6666666666666667
CL-040305,28977064.73,28977064.73,7,28977064.730000000000,4139580.675714285714,6,2.3333333333333333
CL-042518,28964829.74,28998905.58,11,28998905.580000000000,2636264.143636363636,8,3.6666666666666667
CL-019517,28853453.88,28804053.6363006,22,28804053.636300600000,1309275.165286390909,84,7.3333333333333333
CL-036734,28852642.03,28935845.23,16,28935845.230000000000,1808490.326875000000,7,5.3333333333333333
CL-047023,28852171.99,28852171.99,25,28852171.990000000000,1154086.879600000000,13,8.3333333333333333
CL-018510,28836338.55,28507526.55,28,28507526.550000000000,1018125.948214285714,29,9.3333333333333333
CL-022958,28692511.665,28625128.5945039,13,28625128.594503900000,2201932.968807992308,24,4.3333333333333333
CL-036350,28691757.47,28426683.87,15,28426683.870000000000,1895112.258000000000,29,5.0000000000000000
CL-022455,28366789.28,28385646.88,16,28385646.880000000000,1774102.930000000000,8,5.3333333333333333
CL-046692,28244913.24,28244913.24,7,28244913.240000000000,4034987.605714285714,4,2.3333333333333333
CL-027145,27896415.235,27896416.21,9,27896416.210000000000,3099601.801111111111,9,3.0000000000000000
CL-038930,27770566.01,27747185.01,5,27747185.010000000000,5549437.002000000000,4,1.6666666666666667
CL-030604,27733294.96,27733294.96,7,27733294.960000000000,3961899.280000000000,5,2.3333333333333333
CL-000642,27727453.57,27727453.57,6,27727453.570000000000,4621242.261666666667,2,2.0000000000000000
CL-047547,27633256.1,27649919.43,14,27649919.430000000000,1974994.245000000000,14,4.6666666666666667
CL-046981,27479534.57,27192267.934,11,27192267.934000000000,2472024.357636363636,14,3.6666666666666667
