Uuid,Ordenado,Delivered,Orders,ACV,AOV,Sku's,Sku's x Order,Freq
999a4f11-491e-4848-b9a7-4827e94b98b5,580331365.88068,560305465.993963,96,560305465.99396300,5836763.833270447917,75,0.78125000000000000000,32.0000000000000000
08b56ab0-ac1f-4a5e-920a-0d55c55dd529,577347758.507291,416816324.956071,393,416816324.95607100,1064620.564136857506,81,0.20610687022900763359,131.0000000000000000
3d20021a-275f-41bc-a40a-86ebcefc568f,570988725.485372,481611107.384855,285,481611107.38485500,1691195.868017035088,56,0.19649122807017543860,95.0000000000000000
0087d5f2-8275-44e0-984c-376f082b0595,567462726.21142,381426201.51238,71,381426201.51238000,5372200.021301126761,19,0.26760563380281690141,23.6666666666666667
390009f1-8f7f-4627-b4f5-e1864c500979,567111956.75734,536431980.729707,86,536431980.72970700,6237581.171275662791,29,0.33720930232558139535,28.6666666666666667
bf8d2049-6b4f-4105-8c1a-f224b75b604f,565413931.397545,382165289.826308,207,382165289.82630800,1846209.129595690821,100,0.48309178743961352657,69.0000000000000000
c5647cbf-65e8-40c6-88e4-0e0db82786f9,551093641.875408,429385034.424546,772,429385034.42454600,556254.746089093264,424,0.54922279792746113990,257.3333333333333333
b3692460-b0b5-40bd-bab7-2007cd8dbc50,546740023.362919,459688096.491576,259,459688096.49157600,1774857.515411490347,280,1.08108108108108108108,86.3333333333333333
fd573e2e-4a90-47b5-a142-0b241d08c5c8,542679367.366835,304955634.695585,58,304955634.69558500,5257855.770613534483,22,0.37931034482758620690,19.3333333333333333
8a224db8-f58f-4fb3-8b06-a37fcb3377b4,539500989.099072,433486836.04997,201,433486836.04997000,2156650.925621741294,65,0.32338308457711442786,67.0000000000000000
ce4608e5-3fb6-4654-8083-22bbedc1da6f,521633011.399346,451988616.137513,95,451988616.13751300,4757774.906710663158,52,0.54736842105263157895,31.6666666666666667
1979b26f-2e65-43e5-affa-3779879cc932,517379666.897336,456751132.776574,365,456751132.77657400,1251372.966511161644,506,1.38630136986301369863,121.6666666666666667
fada888d-ff79-439f-8bef-64c698944a14,511794647.63057,307770428.765121,233,307770428.76512100,1320903.127747300429,135,0.57939914163090128755,77.6666666666666667
fd1f22e0-038f-43c5-92aa-a8417ed219ee,511545628.230683,444603442.010709,115,444603442.01070900,3866116.887049643478,173,1.50434782608695652174,38.3333333333333333
5aa3f6d9-2a4d-4ddc-ae70-189f708517d2,508159903.261043,421972563.03595,103,421972563.03595000,4096821.000349029126,78,0.75728155339805825243,34.3333333333333333
a9b2ef35-f903-46c2-8da7-3f1c8b0acf77,507648922.092573,446747771.330069,315,446747771.33006900,1418246.893111330159,81,0.25714285714285714286,105.0000000000000000
4280867a-2987-478c-b12b-2dac3712bc95,502818998.292831,359114631.126757,231,359114631.12675700,1554608.792756523810,69,0.29870129870129870130,77.0000000000000000
6020bc61-e304-4e74-a165-44b73807de64,496727720.539019,419567961.240419,152,419567961.24041900,2760315.534476440789,21,0.13815789473684210526,50.6666666666666667
3a5afffd-a747-4303-8298-06474a934c57,488797233.437789,401028426.040241,45,401028426.04024100,8911742.800894244444,40,0.88888888888888888889,15.0000000000000000
05c38914-b721-46e5-914c-bcdb6b9240c3,485450401.958128,379220457.128463,118,379220457.12846300,3213732.687529347458,37,0.31355932203389830508,39.3333333333333333
92a4976e-36fb-462c-976f-44099d7f17e5,484925544.458529,467858468.441981,294,467858468.44198100,1591355.334836670068,107,0.36394557823129251701,98.0000000000000000
f7d65d34-6be1-44c0-97b8-af8bf124e3b7,480023234.766588,352201189.986751,84,352201189.98675100,4193182.313334333333,36,0.42857142857142857143,28.0000000000000000
9541d723-bfde-4669-b20d-151278e3f59a,475317518.618,407176190.582486,54,407176190.58248600,7540299.825601592593,22,0.40740740740740740741,18.0000000000000000
3675da89-9f16-40d4-af48-1e4897fd1bf9,470656367.976369,420572235.522339,277,420572235.52233900,1518311.319575231047,550,1.98555956678700361011,92.3333333333333333
15e136d7-2573-4017-8691-591ab513a5f1,466555337.642848,441204870.7964,34,441204870.79640000,12976613.846952941176,11,0.32352941176470588235,11.3333333333333333
695c99fa-93cc-4085-9e92-8e4eafbd58c7,463163318.59224,396868273.75224,16,396868273.75224000,24804267.109515000000,16,1.00000000000000000000,5.3333333333333333
bdee4357-ceb8-4b23-9569-65005f5a25d1,462542911.032715,326699614.895352,263,326699614.89535200,1242467.474595311787,67,0.25475285171102661597,87.6666666666666667
bef50445-d76c-4481-8529-7cdb67ca6ea3,457271922.569022,382212839.813005,126,382212839.81300500,3033435.236611150794,72,0.57142857142857142857,42.0000000000000000
f29c59c5-d5c3-4de5-9dff-549facaa26d6,450694251.421361,391667673.116813,407,391667673.11681300,965597.970286884521,477,1.17199017199017199017,135.6666666666666667
e5903566-734b-453a-81c3-450f0ba36f78,449614196.570284,379721169.0789,23,379721169.07890000,16509616.046908695652,12,0.52173913043478260870,7.6666666666666667
eb310e57-b848-42a4-aa08-0da7c4f22240,449252126.460132,375668735.827736,44,375668735.82773600,8537925.814266727273,45,1.02272727272727272727,14.6666666666666667
7124ff2f-315f-447b-aec9-3aa53931599f,443803719.559138,382403829.272138,82,382403829.27213800,4663461.332587048780,31,0.37804878048780487805,27.3333333333333333
0ae3a52d-6068-4cd7-b068-c5e5d57c23a2,442781970.362669,305225607.983271,257,305225607.98327100,1187648.280090548638,150,0.58365758754863813230,85.6666666666666667
d344173e-6f53-4247-8b66-0d298dad51fc,442101278.442145,412833079.562822,189,412833079.56282200,2184302.008268899471,120,0.63492063492063492063,63.0000000000000000
4c78b6ca-b3fc-4b68-96ae-5630e4d34dca,442022297.435738,350448980.219892,71,350448980.21989200,4935901.129857633803,69,0.97183098591549295775,23.6666666666666667
b23ef49f-2560-43c9-8963-02eba00644fa,438130531.171991,142272078.589705,149,142272078.589705000000,954846.165031577181,94,0.63087248322147651007,49.6666666666666667
ff0b7c7a-8cfe-43a9-ac5d-1e874c45a915,436081742.825932,384420287.40121,202,384420287.40121000,1903088.036144603960,66,0.32673267326732673267,67.3333333333333333
e5a8098c-d803-4dda-9cdc-188e32fd5321,422352851.8052,375438700.0507,34,375438700.05070000,11042314.707373529412,20,0.58823529411764705882,11.3333333333333333
1fcabc31-0e49-4047-8bd5-ccec7bc986f0,418804494.490526,391655425.417216,174,391655425.41721600,2259589.686135850575,218,1.25287356321839080460,58.0000000000000000
d1d6ff02-292d-491d-b2b4-c596a1e549f8,418203211.394246,329772076.43926,236,329772076.43926000,1406544.888146169492,171,0.72457627118644067797,78.6666666666666667
8d3062e1-c025-45ec-8809-76c0a09ccc00,410799994.351594,298327847.759057,668,298327847.75905700,446598.574489606287,246,0.36826347305389221557,222.6666666666666667
da221986-95ff-440a-b2a4-a78f1dafc97e,410747944.51723,391334382.064365,258,391334382.06436500,1518440.639791724806,275,1.06589147286821705426,86.0000000000000000
92533810-11ab-4599-9d14-0ae6b7db7dd9,409528754.23762,365862113.5001,154,365862113.50010000,2377088.736676350649,113,0.73376623376623376623,51.3333333333333333
e94f948c-0709-41cb-82da-9f2adcd8fa88,405279247.213537,300469370.562389,179,300469370.56238900,1678724.215432340782,70,0.39106145251396648045,59.6666666666666667
285d32e6-6995-4636-a9e7-f71616bcbe0d,403591317.168532,249835262.396864,98,249835262.39686400,2575621.261823340206,29,0.29591836734693877551,32.6666666666666667
cdf9ed28-9a9a-4213-8c05-254a9c9a4661,401167151.396463,386576659.7632,46,386576659.76320000,8403840.429634782609,24,0.52173913043478260870,15.3333333333333333
b16565fc-048e-46e4-b954-71dfb7ad6fe3,397087314.422637,282252079.6424,180,282252079.64240000,1568067.109124444444,45,0.25000000000000000000,60.0000000000000000
23c46d45-6dde-4ff6-8572-8743a048db68,395002347.266139,346202890.456564,384,346202890.45656400,901574.998237276042,542,1.41145833333333333333,128.0000000000000000
116357e1-1fd1-42ac-b661-9cb996e48998,393825525.837775,347218016.670529,64,347218016.67052900,5427280.885477015625,35,0.54687500000000000000,21.3333333333333333
c72204a8-1ef1-4df5-83fb-662d49f603ce,393495701.240374,362570778.154786,684,362570778.15478600,530074.237068400585,1121,1.63888888888888888889,228.0000000000000000
f26d95c4-bbe5-493a-8bf3-ae4eb1b8cdea,388547703.543368,303425766.40868,60,303425766.40868000,5057096.106811333333,24,0.40000000000000000000,20.0000000000000000
221e2a5b-c3a5-46d1-a56b-b7e1d3ae44cf,387066426.386167,329146825.769138,81,329146825.76913800,4063541.058878246914,20,0.24691358024691358025,27.0000000000000000
40333f7b-2d12-4e37-af3e-aececb1acfce,384469403.202534,351983948.589451,114,351983948.58945100,3087578.496398692982,155,1.35964912280701754386,38.0000000000000000
3c84092e-7a60-4aef-a0de-012d4108d2a0,384393903.701765,320462069.565759,290,320462069.56575900,1105041.619192272414,213,0.73448275862068965517,96.6666666666666667
27e73a71-9eb8-49ca-b8ae-14b56cd20ace,378121237.374922,327436545.987008,150,327436545.98700800,2182910.306580053333,44,0.29333333333333333333,50.0000000000000000
0478426f-471b-48a7-9e28-f59f9794fc6c,373370734.773589,281973138.017168,63,281973138.01716800,4475764.095510603175,12,0.19047619047619047619,21.0000000000000000
97e7efb1-8568-451e-b83f-cea4246d6ee7,372912741.847543,273810040.893996,105,273810040.89399600,2607787.484704723810,74,0.70476190476190476190,35.0000000000000000
f3684b7a-7e1a-4f05-af88-477ad0fe6054,371295943.597715,218581094.878411,55,218581094.87841100,3974201.725062018182,81,1.47272727272727272727,18.3333333333333333
f3ea0cec-0570-4cf9-9aa7-1575993bc123,369616923.269581,254135807.417922,153,254135807.41792200,1661018.349136745098,39,0.25490196078431372549,51.0000000000000000
27f5cac6-d6ab-497b-9c2e-1d4f12360037,368022974.560669,202787685.655203,400,202787685.65520300,506969.214138007500,307,0.76750000000000000000,133.3333333333333333
219a3e6b-0ce6-49b9-aef5-543aa86066a2,367185700.214763,269098612.185948,262,269098612.18594800,1027093.939641022901,67,0.25572519083969465649,87.3333333333333333
44371fb2-1d50-457c-8ab4-887cff31f851,365935712.991369,343443791.469566,142,343443791.46956600,2418618.249785676056,81,0.57042253521126760563,47.3333333333333333
402db55e-29c7-4519-a54f-9655380b12f8,365734183.794501,308336700.24238,103,308336700.24238000,2993560.196527961165,55,0.53398058252427184466,34.3333333333333333
a05badb1-1b8b-4edd-9689-82b2251fe584,362846113.110141,306705210.993041,220,306705210.99304100,1394114.595422913636,51,0.23181818181818181818,73.3333333333333333
d88f2735-5c02-4a20-b0da-5971def56370,356897097.868291,339854741.8184,35,339854741.81840000,9710135.480525714286,18,0.51428571428571428571,11.6666666666666667
2e46ce98-13ea-4ea5-920b-f021fe6f47b6,352954953.88719,285916666.16335,102,285916666.16335000,2807832.589836764706,26,0.25490196078431372549,34.0000000000000000
f893bf93-922d-49b5-8aa7-1704860c8e42,352795486.953842,315227012.287291,47,315227012.28729100,6713350.358453000000,118,2.51063829787234042553,15.6666666666666667
c9fbe902-f016-42d8-82d6-65decfccd731,351070314.265535,316931701.670302,86,316931701.67030200,3690702.286863976744,33,0.38372093023255813953,28.6666666666666667
abb20cd2-6cd9-4eed-a78f-dd7dc137480f,348371485.327672,321440957.511672,89,321440957.51167200,3611696.151816539326,51,0.57303370786516853933,29.6666666666666667
11cc7146-7170-449b-9089-ab29b9dc6c64,344691652.528535,283588572.960285,303,283588572.96028500,935935.884357376238,182,0.60066006600660066007,101.0000000000000000
71c657a1-9efd-4840-ba2b-b1cbafd3020a,343279226.930088,278793414.047771,340,278793414.04777100,819980.629552267647,169,0.49705882352941176471,113.3333333333333333
52dc6016-cbfa-4cce-b96a-3bc2aebedb94,342739336.749198,297015668.387939,229,297015668.38793900,1297011.652349078603,247,1.07860262008733624454,76.3333333333333333
652e5b8d-e711-4b8c-8da1-9a04e785f369,336805973.274873,317331205.695334,224,317331205.69533400,1416657.168282741071,202,0.90178571428571428571,74.6666666666666667
c9c18b08-cb0a-42f1-a8a9-e70df409b288,332490903.447562,292949611.091933,147,292949611.09193300,1992854.497224034014,84,0.57142857142857142857,49.0000000000000000
32005844-68eb-4a1c-a9b0-e3aa4eb25c09,329258850.840386,313202890.419998,114,313202890.41999800,2747393.775614017544,33,0.28947368421052631579,38.0000000000000000
c2b5957e-a0ab-49cf-891b-1ceb8aa348f2,329012181.179551,303714693.898311,74,303714693.89831100,4104252.620247445946,34,0.45945945945945945946,24.6666666666666667
c08e686b-4911-4081-9c7f-7f13a22ec645,328799590.07484,313512715.893288,69,313512715.89328800,4543662.549178086957,56,0.81159420289855072464,23.0000000000000000
613742ec-45f1-4e8d-a616-458f880614c1,328463538.714453,263835549.622273,114,263835549.62227300,2314346.926511166667,47,0.41228070175438596491,38.0000000000000000
4f3476a1-c62a-4be8-9f3f-a120c20ca0a8,327298418.906912,308443861.306884,345,308443861.30688400,894040.177701113043,126,0.36521739130434782609,115.0000000000000000
0115153d-3883-44e9-bef5-909fa4d0fa15,325820553.31233,164769245.19621,150,164769245.196210000000,1098582.061308066667,52,0.34666666666666666667,50.0000000000000000
c69a4908-3596-4711-b3c4-51223b21efab,324999226.472275,190353655.054411,167,190353655.054411000000,1139842.245834796407,61,0.36526946107784431138,55.6666666666666667
b5d9d3f0-4544-4e23-87ca-9cbac53a803b,322597370.842365,296527848.05379,87,296527848.05379000,3408366.069583793103,39,0.44827586206896551724,29.0000000000000000
4ec1e3c3-d7d4-48f0-b3f8-a279523387aa,322358624.564009,274927506.068896,83,274927506.06889600,3312379.591191518072,153,1.84337349397590361446,27.6666666666666667
b5cda389-69c2-431a-897d-ec68cc606b08,320437776.894083,236320361.901519,96,236320361.90151900,2464437.354390822917,257,2.67708333333333333333,32.0000000000000000
08e4d9b4-d39d-4b0a-ad5f-5dfb911951f5,319409024.131931,256572737.332722,106,256572737.33272200,2420497.522006811321,83,0.78301886792452830189,35.3333333333333333
37198eba-d967-4344-a09c-65bdd80fac4b,318157604.943946,221011913.351269,95,221011913.35126900,2331014.856329147368,107,1.12631578947368421053,31.6666666666666667
dd50ea47-a329-469a-8042-7a7b0902dbeb,318018312.417014,248626755.035098,109,248626755.03509800,2280979.403991724771,77,0.70642201834862385321,36.3333333333333333
ae2d0df1-6fa8-4107-9140-8a0a9fd7a173,317861928.24803,185372407.822527,253,185372407.822527000000,732697.264120660079,54,0.21343873517786561265,84.3333333333333333
4f803332-dc87-4cc7-820e-962dab69a2ee,317699155.745836,259389231.126821,27,259389231.12682100,9607008.560252629630,75,2.77777777777777777778,9.0000000000000000
05f28fa5-5c87-4708-a3d9-defdca3f9182,316869053.243864,306960151.494271,86,306960151.49427100,3573128.127813965116,48,0.55813953488372093023,28.6666666666666667
dbf344bd-4399-49c5-b3a2-2d23e916cb47,315333359.506316,274615691.580067,213,274615691.58006700,1289275.547324258216,269,1.26291079812206572770,71.0000000000000000
40eeed69-840d-4fad-a33a-a1a4737a4ace,312864315.868774,271910849.089725,287,271910849.08972500,947424.561288240418,75,0.26132404181184668990,95.6666666666666667
78a36a57-4f13-40ef-9ff6-4728e2cb9984,312837839.09545,255583630.5354,34,255583630.53540000,7517165.603982352941,18,0.52941176470588235294,11.3333333333333333
00451908-ffba-4e70-9d13-d10ab56b35f8,311756586.771687,256254412.388213,95,256254412.38821300,2697414.867244347368,45,0.47368421052631578947,31.6666666666666667
1e526d49-061b-4645-8df9-0b73759e16f5,309853764.293321,173922742.411191,266,173922742.411191000000,653844.896282672932,97,0.36466165413533834586,88.6666666666666667
827197f8-a6b7-44ef-ad61-2391a82b6c98,306251614.707247,288890260.769984,181,288890260.76998400,1596272.600939138122,425,2.34806629834254143646,60.3333333333333333
085cfbb8-a442-4f2b-97ff-e5da04937b96,300972717.43537,279026222.408587,130,279026222.40858700,2146355.556989130769,58,0.44615384615384615385,43.3333333333333333
e254cf78-924a-42ff-8dee-b8e941de3df3,300159245.398295,228102208.893227,305,228102208.89322700,747876.094731891803,481,1.57704918032786885246,101.6666666666666667
da9e4199-40e4-4589-9b71-81deb8d1038d,296612171.327143,216804836.448938,96,216804836.44893800,2258383.713009770833,77,0.80208333333333333333,32.0000000000000000
97909765-4fb4-44ef-a4ba-1e12870125cf,296079570.648791,255358870.229576,287,255358870.22957600,889752.161078662021,179,0.62369337979094076655,95.6666666666666667
6a09e41a-073f-475f-928b-34027f43ab96,295451055.595793,280870153.619708,237,280870153.61970800,1185412.445652776371,219,0.92405063291139240506,79.0000000000000000
835c5ed7-ad49-44df-9ad5-2d350d630887,295278750.464252,215756571.668908,46,215756571.66890800,4690360.253671913043,31,0.67391304347826086957,15.3333333333333333
ff525304-79ce-46ea-b37b-edeb62d275ee,294033417.656873,186677608.356003,66,186677608.356003000000,2828448.611454590909,43,0.65151515151515151515,22.0000000000000000
b4f02719-f278-40cb-895b-796d3b91ba19,292938189.318315,154366644.090403,77,154366644.090403000000,2004761.611563675325,39,0.50649350649350649351,25.6666666666666667
ba34cb0f-a610-4148-9108-e07a26008544,292557680.172079,286984941.827189,33,286984941.82718900,8696513.388702696970,58,1.75757575757575757576,11.0000000000000000
b67260a9-5b94-49cb-a910-a6e1a15f812d,292277312.133495,212385411.87429,142,212385411.87429000,1495671.914607676056,74,0.52112676056338028169,47.3333333333333333
56a2f980-5727-4b0c-b702-2e559cc612b8,291517651.566517,278716483.93146,101,278716483.93146000,2759569.147836237624,203,2.00990099009900990099,33.6666666666666667
54206193-c024-47c3-b98c-43483d47e985,287723751.455041,279868328.889592,35,279868328.88959200,7996237.968274057143,37,1.05714285714285714286,11.6666666666666667
6f4d05d0-1807-4aac-bdf9-17565a47bdc4,286095164.697553,219974712.602574,196,219974712.60257400,1122319.962258030612,58,0.29591836734693877551,65.3333333333333333
02d636a0-364a-4afb-a9d0-3e27c26ab333,285131828.258856,186786610.417811,67,186786610.417811000000,2787859.856982253731,18,0.26865671641791044776,22.3333333333333333
3fa7a748-184b-4d1e-a2b8-3db1b74f4ab8,283911490.685424,249541874.261524,54,249541874.26152400,4621411.952991185185,21,0.38888888888888888889,18.0000000000000000
084a99f2-03a8-464c-9246-f3761e6f1d1d,283697658.985331,254839796.686046,143,254839796.68604600,1782096.480322000000,315,2.20279720279720279720,47.6666666666666667
33cab1eb-e5fa-4f87-969c-12c4d9b2eb63,283635990,254908504.61,19,254908504.61000000,13416237.084736842105,29,1.52631578947368421053,6.3333333333333333
a2ee3da3-b35e-4228-bd27-bc28c6b59b8b,283179366.653,280282700.54,18,280282700.54000000,15571261.141111111111,17,0.94444444444444444444,6.0000000000000000
8406ab6e-44cd-4b2c-b22a-703f4ea6f05b,283125110.316626,247109165.743497,257,247109165.74349700,961514.263593373541,296,1.15175097276264591440,85.6666666666666667
bd2ce969-783f-43f2-9273-f6bcaf96c5f2,282737195.656974,259489115.204864,84,259489115.20486400,3089156.133391238095,41,0.48809523809523809524,28.0000000000000000
0329edc1-ea49-4b80-af9e-7c74ac67603d,282440320.760031,274886218.966323,78,274886218.96632300,3527358.743157987179,32,0.41025641025641025641,26.0000000000000000
ca799466-6676-48c4-bc78-7419a23b5595,280952207.258761,244141804.734374,375,244141804.73437400,651044.812624997333,140,0.37333333333333333333,125.0000000000000000
5821a269-e988-446d-9914-db4fc04d5b30,280627753.332,243971281.1272,45,243971281.12720000,5421584.025048888889,36,0.80000000000000000000,15.0000000000000000
a608d432-37f9-42e5-b6e0-aabdc348ec80,280514317.759546,255210882.799996,50,255210882.79999600,5104217.655999920000,61,1.22000000000000000000,16.6666666666666667
f9f4a6b7-4646-4f58-942a-a729497b2515,279101757.312082,147903967.45678,334,147903967.456780000000,442826.249870598802,120,0.35928143712574850299,111.3333333333333333
5fff2e9e-5e56-465d-be12-baa2d0bfa58f,279053487.441422,167394124.183083,179,167394124.183083000000,935162.704933424581,74,0.41340782122905027933,59.6666666666666667
de061f25-0694-4835-bc77-c4763cc71cb6,276299366.138735,145034869.384392,116,145034869.384392000000,1250300.598141310345,63,0.54310344827586206897,38.6666666666666667
60157371-879d-49c9-a7c4-e999645b9d53,275023019.869949,192274249.581548,75,192274249.581548000000,2564961.801175093333,210,2.80000000000000000000,25.0000000000000000
5e50ef1b-40bf-40f8-8d33-6ed7e8441a46,274555994.716551,250427519.973254,216,250427519.97325400,1160483.394185504630,334,1.54629629629629629630,72.0000000000000000
d8cc6bcd-1224-4c15-acc6-00516efe41f8,273330237.729207,259279128.051123,180,259279128.05112300,1440810.855839572222,188,1.04444444444444444444,60.0000000000000000
b0dc32e1-a1e6-4a3a-83d7-f365930d4dd1,272587335.932931,228409583.604049,146,228409583.60404900,1564449.202767458904,87,0.59589041095890410959,48.6666666666666667
b353a917-6404-4594-9fc0-29a8e6b0a9e6,272110782.579303,225278376.962351,126,225278376.96235100,1787923.626685325397,53,0.42063492063492063492,42.0000000000000000
